IBOV;;;CDB;PETR36;CPLD26;TAEE26;ITSA24;;Média diária;Média Carteira Privada;;;2026;2028;IBOV;Média carteira pública;;;Média carteira total;;;Selic2026;Selic2028;Pre2024Primeiro;Pre2024Segundo;Ipca2026
-0,008603325;;-0,032255682;0,000347493;0,000522208;-0,010350867;-0,00086037;0,000359952;;0,000434851;0,000499495;1.000.499.495;;0,000351525;0,000401455;-0,008603325;0,000366504;1.000.366.504;;0,000433;1.000.433;;0,0003303435043055610;0,0004014545034221460;0,0005044109312233030;0,0001087410828435740;-0,0061273486778617100
-0,003925556;0,00047921;;0,000347493;-0,000261764;-0,003897087;-0,003787649;-0,000763799;;4,29E-05;-0,00018256;0,99981744;;0,000379768;0,00035869;-0,003925556;0,000373445;1.000.373.445;;9,54E-05;1.000.095.442;;0,0004049823896448500;0,0003586895458217420;-0,0011986248706232000;-0,0021580889600170600;0,0003695714986459940
-0,024227145;;;0,000347493;0,000717158;-0,000612321;-0,007346576;0,000358937;;0,000532325;0,000669101;1.000.669.101;;0,000396915;0,000408578;-0,024227145;0,000400414;1.000.400.414;;0,000534758;1.000.534.758;;0,0003313527364887220;0,0004085778454729220;-0,0015605838504665400;-0,0011004117313602300;-0,0000302264972192111
0,005497209;;;0,000347493;0,000976185;0,011907235;-0,009060704;0,000278724;;0,000661839;0,000894455;1.000.894.455;;0,000330344;0,000328147;0,005497209;0,000329684;1.000.329.684;;0,00061207;100.061.207;;0,0003505157047523520;0,0003281466825876860;0,0000958391955808679;-0,0003470113013748340;0,0005239417887238140
0,011401517;;;0,000347493;0,000893161;-0,009184492;-0,001941882;0,000917313;;0,000620327;0,000822224;1.000.822.224;;0,000404982;0,000596922;0,011401517;0,000462564;1.000.462.564;;0,000642394;1.000.642.394;;0,0003969111635556150;0,0005969217745128540;0,0049619050733400200;0,0065137635409730200;-0,0004263189873077730
-0,007524898;;;0,000347493;0,000699054;-0,006297165;-0,005799218;3,71E-05;;0,000523273;0,000653351;1.000.653.351;;0,000331353;0,000511361;-0,007524898;0,000385355;1.000.385.355;;0,000519353;1.000.519.353;;0,0004090111770923280;0,0005113614508571970;0,0003976120588467890;0,0009061183999070670;0,0021828781752481800
0,017979412;;;0,000347492;0,000674867;-0,00925999;-0,008347496;0,000655185;;0,00051118;0,000632308;1.000.632.308;;0,000350516;0,000473681;0,017979412;0,000387465;1.000.387.465;;0,000509887;1.000.509.887;;0,0004412788855158180;0,0004736808271957780;0,0000888913457098016;0,0001336802555491260;0,0015984076241027700
0,018379541;;;0,000347492;0,001095065;0,002566191;0,003313196;0,000281825;;0,000721278;0,00099788;100.099.788;;0,000396911;0,000438051;0,018379541;0,000409253;1.000.409.253;;0,000703567;1.000.703.567;;0,0003837918133448860;0,0004380510499232000;-0,0028884545995146300;-0,0045850818403220200;-0,0000802946814809624
-0,001475687;;;0,000347492;0,000687474;-0,001244479;0,001650539;0,000564111;;0,000517483;0,000643277;1.000.643.277;;0,000409011;0,000461444;-0,001475687;0,000424741;1.000.424.741;;0,000534009;1.000.534.009;;0,0004130328179048020;0,0004614441345814870;0,0001938735806707820;0,0010284903576397400;-0,0009468841488916530
0,013232297;;;0,000347493;0,000452877;0,001571628;0,000211849;0,001317513;;0,000400185;0,000439177;1.000.439.177;;0,000441279;0,000413617;0,013232297;0,00043298;100.043.298;;0,000436078;1.000.436.078;;0,0004452936452032720;0,0004136165219090150;0,0034812779133666900;0,0042624828106409600;0,0007836780623727850
-0,0052145;;;0,000347493;0,000346963;-0,008009301;-0,009064222;0,00030882;;0,000347228;0,000347032;1.000.347.032;;0,000383792;0,000692343;-0,0052145;0,000476357;1.000.476.357;;0,000411695;1.000.411.695;;0,0004372186442833450;0,0006923427707043710;0,0037465882960571500;0,0042756627231605000;0,0033865861738938000
0,002826944;;;0,000347493;0,000366162;-0,001067934;-0,001771746;-7,94E-05;;0,000356827;0,000363735;1.000.363.735;;0,000413033;0,000522399;0,002826944;0,000445843;1.000.445.843;;0,000404789;1.000.404.789;;0,0004160404215714020;0,0005223991174190480;0,0001008840192919430;-0,0001994122866644660;-0,0015208212434714600
0,012611797;;;0,000347492;0,000681772;0,004065752;0,006737789;-0,000409307;;0,000514632;0,000638316;1.000.638.316;;0,000445294;0,000449164;0,012611797;0,000446455;1.000.446.455;;0,000542385;1.000.542.385;;0,0004896217513469310;0,0004491637138325390;0,0014079202807042100;0,0015051939888278700;0,0055514359580735900
0,010013399;;;0,000347492;0,000667871;0,005304978;0,00593704;0,000230409;;0,000507682;0,000626222;1.000.626.222;;0,000437219;0,000588432;0,010013399;0,000482583;1.000.482.583;;0,000554402;1.000.554.402;;0,0004603729238166590;0,0005884319631885660;0,0012853074874778400;0,0014891040504309500;0,0016442779128631800
-0,001427355;;;0,000347493;0,000118025;-0,002794584;-0,0049893;0,000514655;;0,000232759;0,000147856;1.000.147.856;;0,00041604;0,000449129;-0,001427355;0,000425967;1.000.425.967;;0,000286911;1.000.286.911;;0,0004079561968986720;0,0004491288343234790;-0,0008713796429299190;-0,0001797391509673500;-0,0018107110523017000
-0,009233793;;;0,000347492;0,000516931;0,000661893;0,005333159;0,000722253;;0,000432212;0,000494904;1.000.494.904;;0,000489622;0,000606643;-0,009233793;0,000524728;1.000.524.728;;0,000509816;1.000.509.816;;0,0004442301036460430;0,0006066426799346750;-0,0052142372257909000;-0,0060315243427810900;-0,0026778031382789500
0,021043087;;;0,000347492;0,000581184;-0,001293861;-0,005155067;0,000756507;;0,000464338;0,000550804;1.000.550.804;;0,000460373;0,000683793;0,021043087;0,000527399;1.000.527.399;;0,000539101;1.000.539.101;;0,0003787258717921550;0,0006837930852020290;0,0000329783955572222;0,0002637191070876140;0,0015990032879505700
0,009948869;;;0,000347493;0,000437792;-0,001827001;-0,002076864;0,000529335;;0,000392642;0,000426053;1.000.426.053;;0,000407956;0,000418588;0,009948869;0,000411146;1.000.411.146;;0,000418599;1.000.418.599;;0,0003666340631915400;0,0004185876761914660;0,0008933305245186380;0,0012400854237442400;-0,0004789351674776600
